DATE, EX_NUM, BOOL_PREPROC, NOISE, method_name, error_norm 
05-Oct-2017 14:03:09,10,1,1e-06,Batch,1.4195e-05 
05-Oct-2017 14:03:09,10,1,1e-06,Batch With STLN,0.019305 
05-Oct-2017 14:03:09,10,1,1e-06,Batch Constrained,3.0383e-06 
05-Oct-2017 14:03:09,10,1,1e-06,Batch Constrained With STLN,5.3358 
05-Oct-2017 14:09:59,10,1,1e-06,Separate,0.00080862 
05-Oct-2017 14:09:59,10,1,1e-06,Batch,1.4195e-05 
05-Oct-2017 14:09:59,10,1,1e-06,Batch With STLN,0.13915 
05-Oct-2017 14:09:59,10,1,1e-06,Batch Constrained,3.0383e-06 
05-Oct-2017 14:09:59,10,1,1e-06,Batch Constrained With STLN,5.3358 
05-Oct-2017 14:14:04,10,1,1e-06,Separate,0.00080862 
05-Oct-2017 14:14:04,10,1,1e-06,Batch,1.4195e-05 
05-Oct-2017 14:14:04,10,1,1e-06,Batch With STLN,1.6438e-05 
05-Oct-2017 14:14:04,10,1,1e-06,Batch Constrained,3.0383e-06 
05-Oct-2017 14:14:04,10,1,1e-06,Batch Constrained With STLN,6.6219e-06 
05-Oct-2017 14:14:34,11,1,1e-06,Separate,0.0008957 
05-Oct-2017 14:14:34,11,1,1e-06,Batch,1.8255e-05 
05-Oct-2017 14:14:34,11,1,1e-06,Batch With STLN,2.2822e-05 
05-Oct-2017 14:14:34,11,1,1e-06,Batch Constrained,7.8436e-06 
05-Oct-2017 14:14:34,11,1,1e-06,Batch Constrained With STLN,1.1161e-05 
05-Oct-2017 14:14:51,12,1,1e-06,Separate,0.00058406 
05-Oct-2017 14:14:51,12,1,1e-06,Batch,1.5694e-05 
05-Oct-2017 14:14:51,12,1,1e-06,Batch With STLN,1.4556e-05 
05-Oct-2017 14:14:51,12,1,1e-06,Batch Constrained,1.8235e-05 
05-Oct-2017 14:14:51,12,1,1e-06,Batch Constrained With STLN,6.4032e-06 
05-Oct-2017 14:35:08,1,1,1e-12,Separate,4.6368 
05-Oct-2017 14:35:08,1,1,1e-12,Batch,2.191e-11 
05-Oct-2017 14:35:08,1,1,1e-12,Batch With STLN,2.1766e-11 
05-Oct-2017 14:35:08,1,1,1e-12,Batch Constrained,4.2749e-11 
05-Oct-2017 14:35:08,1,1,1e-12,Batch Constrained With STLN,4.5264e-11 
05-Oct-2017 14:35:17,2,1,1e-12,Separate,6.3012e-10 
05-Oct-2017 14:35:17,2,1,1e-12,Batch,3.6999e-12 
05-Oct-2017 14:35:17,2,1,1e-12,Batch With STLN,3.4976e-12 
05-Oct-2017 14:35:17,2,1,1e-12,Batch Constrained,3.5636e-12 
05-Oct-2017 14:35:17,2,1,1e-12,Batch Constrained With STLN,2.8902e-12 
05-Oct-2017 14:35:24,3,1,1e-12,Separate,1.5152e-11 
05-Oct-2017 14:35:24,3,1,1e-12,Batch,4.1583e-11 
05-Oct-2017 14:35:24,3,1,1e-12,Batch With STLN,4.0243e-11 
05-Oct-2017 14:35:24,3,1,1e-12,Batch Constrained,5.5236e-11 
05-Oct-2017 14:35:24,3,1,1e-12,Batch Constrained With STLN,7.0311e-11 
05-Oct-2017 14:35:38,3,0,1e-12,Separate,1.5152e-11 
05-Oct-2017 14:35:38,3,0,1e-12,Batch,1.5158e-11 
05-Oct-2017 14:35:38,3,0,1e-12,Batch With STLN,2.7496e-11 
05-Oct-2017 14:35:38,3,0,1e-12,Batch Constrained,1.7209e-11 
05-Oct-2017 14:35:38,3,0,1e-12,Batch Constrained With STLN,2.7739e-11 
05-Oct-2017 14:35:53,4,0,1e-12,Separate,2.6986e-11 
05-Oct-2017 14:35:53,4,0,1e-12,Batch,2.699e-11 
05-Oct-2017 14:35:53,4,0,1e-12,Batch With STLN,2.3192e-11 
05-Oct-2017 14:35:53,4,0,1e-12,Batch Constrained,1.1446e-11 
05-Oct-2017 14:35:53,4,0,1e-12,Batch Constrained With STLN,4.3067e-12 
05-Oct-2017 14:36:00,4,0,1e-10,Separate,2.6974e-09 
05-Oct-2017 14:36:00,4,0,1e-10,Batch,2.6974e-09 
05-Oct-2017 14:36:00,4,0,1e-10,Batch With STLN,2.3184e-09 
05-Oct-2017 14:36:00,4,0,1e-10,Batch Constrained,1.1448e-09 
