DATE, EX_NUM, MEAN_METHOD, BOOL_ALPHA_THETA, EMIN, EMAX, LOW_RANK_APPROX_METHOD, LOW_RANK_ITE, APF_METHOD, APF_ITE, BOOL_LOG, SYLVESTER_MATRIX_VARIANT, GCD_METHODM, METHOD_NAME, DECONVOLUTION_METHOD HX, DECONVOLUTION_METHOD WX, DECONVOLUTION_PREPROC, FORWARD_ERROR, BACKWARD_ERROR, ERROR_FX, ERROR_HX, ERROR_WX 
20-Jan-2018 12:10:28,9,None,0,1.000000e-12,1.000000e-06,Standard STLN,2,None,0,0,DTQ,ux and vx,My Method,Batch Constrained,Batch,1,2.503657e-05,5.546654e-05,3.448801e-05,4.298696e-04,1.157998e-05
20-Jan-2018 12:12:09,9,Geometric Mean Matlab Method,1,1.000000e-12,1.000000e-06,None,0,None,0,0,DTQ,ux and vx,My Method,Separate,Separate,0,5.341737e-07,1.591468e-06,6.868372e-07,1.289363e-05,3.175146e-07
20-Jan-2018 12:12:15,9,Geometric Mean Matlab Method,1,1.000000e-12,1.000000e-06,None,0,None,0,0,DTQ,ux and vx,My Method,Separate,Separate,1,5.341737e-07,1.591468e-06,6.868372e-07,1.289363e-05,3.175146e-07
20-Jan-2018 12:12:21,9,Geometric Mean Matlab Method,1,1.000000e-12,1.000000e-06,None,0,None,0,0,DTQ,ux and vx,My Method,Separate,Batch,0,5.341737e-07,1.591468e-06,6.868372e-07,1.289363e-05,3.175146e-07
20-Jan-2018 12:12:27,9,Geometric Mean Matlab Method,1,1.000000e-12,1.000000e-06,None,0,None,0,0,DTQ,ux and vx,My Method,Separate,Batch,1,5.355520e-07,1.655507e-06,6.868372e-07,1.289363e-05,3.457783e-07
20-Jan-2018 12:12:33,9,Geometric Mean Matlab Method,1,1.000000e-12,1.000000e-06,None,0,None,0,0,DTQ,ux and vx,My Method,Batch,Separate,0,5.341737e-07,1.591468e-06,6.868372e-07,1.289363e-05,3.175146e-07
20-Jan-2018 12:12:39,9,Geometric Mean Matlab Method,1,1.000000e-12,1.000000e-06,None,0,None,0,0,DTQ,ux and vx,My Method,Batch,Separate,1,3.768700e-07,1.305796e-06,6.868372e-07,1.577250e-06,2.761080e-07
20-Jan-2018 12:12:45,9,Geometric Mean Matlab Method,1,1.000000e-12,1.000000e-06,None,0,None,0,0,DTQ,ux and vx,My Method,Batch,Batch,0,5.341737e-07,1.591468e-06,6.868372e-07,1.289363e-05,3.175146e-07
20-Jan-2018 12:12:52,9,Geometric Mean Matlab Method,1,1.000000e-12,1.000000e-06,None,0,None,0,0,DTQ,ux and vx,My Method,Batch,Batch,1,4.324008e-07,1.348564e-06,6.868372e-07,1.577250e-06,2.760838e-07
20-Jan-2018 12:12:58,9,Geometric Mean Matlab Method,1,1.000000e-12,1.000000e-06,None,0,None,0,0,DTQ,ux and vx,My Method,Batch Constrained,Separate,0,2.653015e-07,1.330950e-06,6.868372e-07,6.272333e-06,3.985229e-07
20-Jan-2018 12:13:03,9,Geometric Mean Matlab Method,1,1.000000e-12,1.000000e-06,None,0,None,0,0,DTQ,ux and vx,My Method,Batch Constrained,Separate,1,1.317640e-07,4.551025e-07,6.868372e-07,1.809801e-06,1.165903e-07
20-Jan-2018 12:13:10,9,Geometric Mean Matlab Method,1,1.000000e-12,1.000000e-06,None,0,None,0,0,DTQ,ux and vx,My Method,Batch Constrained,Batch,0,2.653015e-07,1.330950e-06,6.868372e-07,6.272333e-06,3.985229e-07
20-Jan-2018 12:13:16,9,Geometric Mean Matlab Method,1,1.000000e-12,1.000000e-06,None,0,None,0,0,DTQ,ux and vx,My Method,Batch Constrained,Batch,1,1.944240e-07,4.856554e-07,6.868372e-07,1.809801e-06,1.070603e-07
20-Jan-2018 12:14:07,9,Geometric Mean Matlab Method,1,1.000000e-12,1.000000e-06,Standard STLN,2,None,0,0,DTQ,ux and vx,My Method,Separate,Separate,0,7.528489e-06,1.415202e-05,4.056087e-06,1.285291e-05,3.322211e-06
20-Jan-2018 12:14:13,9,Geometric Mean Matlab Method,1,1.000000e-12,1.000000e-06,Standard STLN,2,None,0,0,DTQ,ux and vx,My Method,Separate,Separate,1,7.528489e-06,1.415202e-05,4.056087e-06,1.285291e-05,3.322211e-06
